Name,Overall Rank,Nationality,Apparatus,Diff,Exec,Total Score,Rank,,,,,,,,,
Xiao Ruoteng,1,CHN,Floor,5.9,8.533,14.433,5,,,,,,,,,
Xiao Ruoteng,1,CHN,Pommel Horse,6.1,8.7,14.8,2,,,,,,,,,
Xiao Ruoteng,1,CHN,Rings,5.7,8.1,13.8,10,,,,,,,,,
Xiao Ruoteng,1,CHN,Vault,5.6,9.3,14.9,3,,Name,Overall Rank,Nationality,Apparatus,Total Score,,,
Xiao Ruoteng,1,CHN,PBars,6,8.6,14.6,8,,,,,,,,,
Xiao Ruoteng,1,CHN,High Bar,6,8.4,14.4,3,,,,,,,,,
Lin Chaopan,2,CHN,Floor,6.2,8.316,14.516,3,,,,,,,,,
Lin Chaopan,2,CHN,Pommel Horse,5.8,8.466,14.266,3,,Name,,Name,,,,,
Lin Chaopan,2,CHN,Rings,5.6,8.066,13.666,12,,Overall Rank,,Overall Rank,,,,,
Lin Chaopan,2,CHN,Vault,5.6,9.3,14.9,3,,Nationality,,Nationality,,,,,
Lin Chaopan,2,CHN,PBars,6.4,8.4,14.8,5,,Apparatus,,Apparatus,,,,,
Lin Chaopan,2,CHN,High Bar,6.2,8.1,14.3,5,,Diff,,Diff,,,,,
Kenzo Shirai,3,JPN,Floor,7.2,8.533,15.733,1,,Exec,,Exec,,,,,
Kenzo Shirai,3,JPN,Pommel Horse,5.3,8.133,13.433,12,,Total Score,,Total Score,,,,,
Kenzo Shirai,3,JPN,Rings,5.7,7.966,13.666,12,,Rank,,Rank,,,,,
Kenzo Shirai,3,JPN,Vault,5.6,9.4,15,1,,,,,,,,,
Kenzo Shirai,3,JPN,PBars,6,8.633,14.633,7,,,,,,,,,
Kenzo Shirai,3,JPN,High Bar,5.9,8.066,13.966,6,,,,,,,,,
David Belyavskiy,4,RUS,Floor,5.9,8.166,14.066,11,,,,,,,,,
David Belyavskiy,4,RUS,Pommel Horse,6.3,8.6,14.9,1,,Apparatus,,Apparatus,,,,,
David Belyavskiy,4,RUS,Rings,5.5,8.6,14.1,7,,,,Floor,Pommel Horse,Rings,Vault,Vault,High Bar
David Belyavskiy,4,RUS,Vault,5.6,9.183,14.783,8,,,,,,,,,
David Belyavskiy,4,RUS,PBars,6.4,8.866,15.266,1,,,,,,,,,
David Belyavskiy,4,RUS,High Bar,5.6,7.6,13.2,15,,,,,,,,,
Manrique Larduet,5,CUB,Floor,6,7.933,13.933,12,,,,,,,,,
Manrique Larduet,5,CUB,Pommel Horse,5.7,8.033,13.733,7,,,,,,,,,
Manrique Larduet,5,CUB,Rings,6.1,8.033,14.133,6,,,,,,,,,
Manrique Larduet,5,CUB,Vault,5.6,9.366,14.966,2,,,,,,,,,
Manrique Larduet,5,CUB,PBars,6.4,8.533,14.933,3,,,,,,,,,
Manrique Larduet,5,CUB,High Bar,6.1,8.233,14.333,4,,,,,,,,,
Nile Wilson,6,GBR,Floor,5.6,8.733,14.333,6,,,,,,,,,
Nile Wilson,6,GBR,Pommel Horse,5.8,7.866,13.666,8,,,,,,,,,
Nile Wilson,6,GBR,Rings,5.7,8.6,14.3,3,,,,,,,,,
Nile Wilson,6,GBR,Vault,5.2,8.9,14.1,15,,,,,,,,,
Nile Wilson,6,GBR,PBars,6.3,8.2,14.5,12,,,,,,,,,
Nile Wilson,6,GBR,High Bar,6.2,8.233,14.433,2,,,,,,,,,
Yul Moldauer,7,USA,Floor,5.8,8.766,14.566,2,,,,,,,,,
Yul Moldauer,7,USA,Pommel Horse,5.4,8.6,14,4,,,,,,,,,
Yul Moldauer,7,USA,Rings,5.7,8.366,14.066,8,,,,,,,,,
Yul Moldauer,7,USA,Vault,5.2,9.3,14.5,10,,,,,,,,,
Yul Moldauer,7,USA,PBars,6,8.533,14.533,11,,,,,,,,,
Yul Moldauer,7,USA,High Bar,5.3,8.033,13.333,12,,,,,,,,,
Oleg Verniaiev,8,UKR,Floor,6.2,7.566,13.766,15,,,,,,,,,
Oleg Verniaiev,8,UKR,Pommel Horse,6.4,6.933,13.333,14,,,,,,,,,
Oleg Verniaiev,8,UKR,Rings,6.1,8.466,14.566,1,,,,,,,,,
Oleg Verniaiev,8,UKR,Vault,5.6,9.233,14.833,6,,,,,,,,,
Oleg Verniaiev,8,UKR,PBars,6.7,8.266,14.966,2,,,,,,,,,
Oleg Verniaiev,8,UKR,High Bar,5.7,6.833,12.533,21,,,,,,,,,
Ahmet Onder,9,TUR,Floor,6,8.133,14.133,9,,,,,,,,,
Ahmet Onder,9,TUR,Pommel Horse,4.9,8.033,12.933,16,,,,,,,,,
Ahmet Onder,9,TUR,Rings,5.2,8.633,13.833,9,,,,,,,,,
Ahmet Onder,9,TUR,Vault,5.2,9.333,14.533,9,,,,,,,,,
Ahmet Onder,9,TUR,PBars,6.2,8.733,14.933,3,,,,,,,,,
Ahmet Onder,9,TUR,High Bar,5.3,8.166,13.466,9,,,,,,,,,
Nikita Nagornyy,10,RUS,Floor,6.5,8,14.5,4,,,,,,,,,
Nikita Nagornyy,10,RUS,Pommel Horse,5.6,8.266,13.866,5,,,,,,,,,
Nikita Nagornyy,10,RUS,Rings,6,8.466,14.466,2,,,,,,,,,
Nikita Nagornyy,10,RUS,Vault,5.6,9.2,14.8,7,,,,,,,,,
Nikita Nagornyy,10,RUS,PBars,5.9,8.641,14.541,10,,,,,,,,,
Nikita Nagornyy,10,RUS,High Bar,4.9,6.166,11.066,24,,,,,,,,,
Jo Calvo Moreno,11,COL,Floor,5.8,8.066,13.866,14,,,,,,,,,
Jo Calvo Moreno,11,COL,Pommel Horse,6.3,7.5,13.8,6,,,,,,,,,
Jo Calvo Moreno,11,COL,Rings,5.5,7.833,13.333,18,,,,,,,,,
Jo Calvo Moreno,11,COL,Vault,5.2,8.666,13.866,19,,,,,,,,,
Jo Calvo Moreno,11,COL,PBars,6.5,8.1,14.6,8,,,,,,,,,
Jo Calvo Moreno,11,COL,High Bar,6.1,7.466,13.566,8,,,,,,,,,
Pablo Braegger,12,SUI,Floor,5.7,8.533,14.233,8,,,,,,,,,
Pablo Braegger,12,SUI,Pommel Horse,5.4,7.866,13.266,15,,,,,,,,,
Pablo Braegger,12,SUI,Rings,4.6,9,13.6,14,,,,,,,,,
Pablo Braegger,12,SUI,Vault,5.2,9.233,14.433,12,,,,,,,,,
Pablo Braegger,12,SUI,PBars,6.2,6.5,12.7,23,,,,,,,,,
Pablo Braegger,12,SUI,High Bar,6.8,7.7,14.5,1,,,,,,,,,
Artur Davtyan,13,ARM,Floor,4.7,8.633,13.333,18,,,,,,,,,
Artur Davtyan,13,ARM,Pommel Horse,5.5,7.9,13.4,13,,,,,,,,,
Artur Davtyan,13,ARM,Rings,5.7,8.5,14.2,4,,,,,,,,,
Artur Davtyan,13,ARM,Vault,5.6,9.3,14.9,3,,,,,,,,,
Artur Davtyan,13,ARM,PBars,4.5,9.266,13.766,18,,,,,,,,,
Artur Davtyan,13,ARM,High Bar,4.3,8.433,12.733,19,,,,,,,,,
Garam Bae,14,KOR,Floor,5.5,7.5,13,21,,,,,,,,,
Garam Bae,14,KOR,Pommel Horse,5.4,8.133,13.533,10,,,,,,,,,
Garam Bae,14,KOR,Rings,4.9,7.966,12.866,22,,,,,,,,,
Garam Bae,14,KOR,Vault,4.8,9.333,14.133,14,,,,,,,,,
Garam Bae,14,KOR,PBars,5.6,8,13.6,20,,,,,,,,,
Garam Bae,14,KOR,High Bar,5.8,7.6,13.4,10,,,,,,,,,
Caio Souza,15,BRA,Floor,5.5,8.4,13.9,13,,,,,,,,,
Caio Souza,15,BRA,Pommel Horse,5.5,6.066,11.566,23,,,,,,,,,
Caio Souza,15,BRA,Rings,6,8.166,14.166,5,,,,,,,,,
Caio Souza,15,BRA,Vault,5.2,9.3,14.5,10,,,,,,,,,
